Done,Topic,Name,Confidence,Notes,URL,Week
"",Array,"Two Sum","","",https://leetcode.com/problems/two-sum, 1
"",Stack,"Valid Parentheses","","",https://leetcode.com/problems/valid-parentheses, 1
"",Linked List,"Merge Two Sorted Lists","","",https://leetcode.com/problems/merge-two-sorted-lists, 1
"",Array,"Best Time to Buy and Sell Stock","","",https://leetcode.com/problems/best-time-to-buy-and-sell-stock, 1
"",String,"Valid Palindrome","","",https://leetcode.com/problems/valid-palindrome, 1
"",Binary Tree,"Invert Binary Tree","","",https://leetcode.com/problems/invert-binary-tree, 1
"",String,"Valid Anagram","","",https://leetcode.com/problems/valid-anagram, 1
"",Binary Search,"Binary Search","","",https://leetcode.com/problems/binary-search, 1
"",Graph,"Flood Fill","","",https://leetcode.com/problems/flood-fill, 1
"",Binary Search Tree,"Lowest Common Ancestor of a Binary Search Tree","","",https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-search-tree, 1
"",Binary Tree,"Balanced Binary Tree","","",https://leetcode.com/problems/balanced-binary-tree, 1
"",Linked List,"Linked List Cycle","","",https://leetcode.com/problems/linked-list-cycle, 1
"",Stack,"Implement Queue using Stacks","","",https://leetcode.com/problems/implement-queue-using-stacks, 1
"",Binary Search,"First Bad Version","","",https://leetcode.com/problems/first-bad-version, 1
"",Hash Table,"Ransom Note","","",https://leetcode.com/problems/ransom-note, 1
"",Dynamic Programming,"Climbing Stairs","","",https://leetcode.com/problems/climbing-stairs, 1
"",String,"Longest Palindrome","","",https://leetcode.com/problems/longest-palindrome, 1
"",Linked List,"Reverse Linked List","","",https://leetcode.com/problems/reverse-linked-list, 1
"",Array,"Majority Element","","",https://leetcode.com/problems/majority-element, 1
"",Binary,"Add Binary","","",https://leetcode.com/problems/add-binary, 1
"",Binary Tree,"Diameter of Binary Tree","","",https://leetcode.com/problems/diameter-of-binary-tree, 1
"",Linked List,"Middle of the Linked List","","",https://leetcode.com/problems/middle-of-the-linked-list, 1
"",Binary Tree,"Maximum Depth of Binary Tree","","",https://leetcode.com/problems/maximum-depth-of-binary-tree, 1
"",Array,"Contains Duplicate","","",https://leetcode.com/problems/contains-duplicate, 1

